Review,deskripsi_negatif,deskripsi_netral,deskripsi_positif,harga_negatif,harga_netral,harga_positif,pengiriman_negatif,pengiriman_netral,pengiriman_positif,pelayanan_negatif,pelayanan_netral,pelayanan_positif,kualitas_negatif,kualitas_netral,kualitas_positif,lain-lain
jilbabnya pendek beda bangat foto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
dusty pink beda difoto customer tidak ambil rugi dehh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
warna suai bagus belakangnya pendek jahit kurang rapi kirim lumayan but its okay harga segitu,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
terima adem bahannya kirim bund nilai produk baik produk original harga produk baik,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
jibabnha alit cocok orng dewasa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
alhamddulilah jilbabny bagus bnr tembem neax pesan hrgny trjngkau gp bagus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bagus jilban kecil ukur gambar adam dewasa ps smpek bayar sd kecil kualitas produk biasa,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
jilbab lumayan mahal kirim standar respon seller standar harganya oke jilbabnya lumayan gambar,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
maksimum barang suai pesan cepat,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
hijab salwa okee laras pesan baik gosend kendati tidak nunggu tempak pelapak menitan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
bolak pesan massyaallah bagus bahannya chat respon jual ramah baik kualitas nomer terima kualitas produk baik produk original harga produk baik cepat kirim baik respon jual baik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
suka barang baik bagus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bagus kainnya tebel cocok harganya busy bingkis mama senang,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
suka barang bagus kirim kilat materi kerudung lumayan bagus adem tipis terima seller,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
tidak niat baek pesan jilbab jilbab enk gmn chat baek tidak respon lever nilai barang kurang baik barang tidak original cepat kirim kurang baik respon jual kurang baik,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
kirim kerudung kurang disuruh ikut prosedur komplain tidak jelas respon jual standar,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kirim cepat packingnya rapi produknya bagus like,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
kualitas barang suai harga kemas,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
baik tidak kecewa ringan kap dada dikonfirmasi warna tidak warna cadang baik pelayananya repeat pesan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
lumayan duka seh pesan army dikirim abu pesennanya variasinya benerr foto pilih,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
tipis kualitas produk standar,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
suka produknya cukup gambar oke respon seller standar harganya mahal,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
harga barang banding kualitas barang tsb,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
saran input resi barang,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kualitas bagus baik laras harga terima kualitas bagus baik laras harga terima,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
laras jilbab sdikit rijek dibagian benangnya knfrmasi jual potong bagus asma jual tidak egois peroleh kritikan sklipun diskon puas cstmer nomor nilai barang bagus kilat kirim baik respon jual baik,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
kirim standar hijab navy kain belah kanan kirinya beda pendek aneh cek kirim kualitas produk standar,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
cukup baik harga segini harga murah ongkos mahal he,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
warna aslinya gelap difoto bahan tidak tebal oper all oke lahh terima nilai barang bagus barang original harga barang baik cepat kirim baik respon jual baik,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
suai terang recommended senang peroleh seller kurir ramah,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
barang laras harganya tidak besar biasa corak moca tidak suai ekspetasi kupikir moca gelap bayan nilai produk standar harga produk standar,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ukur tidak suai gambar ukur kecil terawang gapapa lanjur ditingkatkan kualitasnya min iyasih barang suai harga pendek pendek ukur,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
terima barang cpat bungkus kurang apik bahan cukup bagus laras harga pndek,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
barang bagus harga segitu kain beda kainnya beda kirim cepat harga segitu oke laah kualitas produk baik produk original harga produk baik cepat kirim baik,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
catat murah jilbab instan murah keren adminnya santun kilat respon syekali,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
puas suka jilbabnya murah tidak murah nti terima,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
akhurnya kemas warnanya tidak laras pingin moca dikirim coklat buah dada fimana,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cepett bangget kerudungnya kotor kotor burung,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
barang suai pesan barang oke suai pesan barangnya suai gambar,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
adem dipakai hari kerja tidak keringetan suai disetrika gampang rapi warna motif gambar asli cantik jazakumullah seller,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
kecewa jilbab tidak tebal rawang tidak suai expectasi kecewa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
puas tidak suai warna konfirmasi terima lahh,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
barang tidak bagus jelek brbeda fotonya bahan panas kasar,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
terimah hijabnya nyampai aman suai warna kemas rapi cepat kirim oke harga produk murah cocok jual bahan suai harga rekommended seller,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
coksu kuning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kerudung kecil tidak jumbo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bahanx tipis kualitas barang kurang baik,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
beneran cantik hijabnya suka kualitas produk baik produk original,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tidak rekomended dipakenya custku kecewa kualitas produk tidak baik,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tidak suai pesan kecil kerudung tidak pakai,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
peroleh kirim kilat bahan tipis okela suai harga,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
bagus mertua senang kualitas bagus abadi nyaman tidak kefoto,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
barang dikirim kurang chat tidak respon tidak solusi cepat kirim tidak baik respon jual tidak baik,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ukur beda kaitnya rapi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
suai ngx kirim kurir,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
terima produc bagus gambar asli desktipsi prngemasan rapi ori,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
simpel senang simpel kegedean muka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
warna cream muda coklat buah dada materi tipis resiko belaja murah,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hijabnya blkng kecil tidak suai fito,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pesan hitam awai biaya jual cedera harga murah tidak amanah orang suci no telepon dihub tidak tidak no wa kirm unboxing chat tidak dibales hati blnja smg bantu respon jual tidak bagus,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
bagus cepat sampainya seuai senang pesan kerudung jujur,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bahan bagus nga segini cocok sd smp,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
padaha sisa dkirim salah dcatatan suruh slipkan tdak dkembalian sudh kualitas produk standar respon jual standar,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
bagus tali lepas awas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
barang suai catat tjanks reseler kurirnya santun tingkatkan kwalitasnya,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kilat cukup simpel cokol slup gga pakai ribet cocok bayik hhehe,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tidak kecewa barang puas nilai barang bagus produk original harga produk bagus cepat kirim baik respon jual baik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
hijab kecil cepak dipakek leher ampuun tidak suai gambar dipost hijab dewasa dikirim ukur nilai produk kurang baik cepat kurang baik,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
kecewa tidak suai kecewa warna pesan tidak suai minta,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
puas kemas apik terima kedepannya pesan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
awai kinta corak blush pink benderang warna pink blush tidak kecewa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
catat talinya putus warna tidak laras gambar terawang nilai produk tidak baik,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lumayan warna suai meong mantap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jilbabnya baguus kirim kilat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
beda salem pashmina kaya orange muda bahan tipis tidak kaya abu kecewa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
terima terima bagus kemas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
paket suai harap harganya murah proses kirim lumayan cepat terima,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
barang bagus bahannya bagus suai pesan pesan tx el lucky store,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
bagus bahan jahit cukup bagus rapi harga ditawarkan oke,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
kualitas produk bagus barang cukup kilat sampaipackingan apik tidak sesal pesan tidak gambar videoinnya,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
barang kemas darab spam berkali balesnya akut terparah shoppe belanja bordir jelekk warna gap bahan parahh tidak rekomen,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
kerudungnya cepak kirim okay tali kerudungnya,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
bahan bagus tempat tali beda bergo merk kualitas produk baik produk original harga produk baik cepat kirim baik respon jual baik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
puas suai pesan lembut,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
baik penguriman cepat kemas oke,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
warna hijabnya persis fotonya bahannya adem bagus jatuhnya dipakai kirim cepat,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
jahit tidak rapi ukur kecil tidak cocok dewasa vocok kecewa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cokol gagar gayane tok pakai kudungan kerudung instan belle tidak ribet cokol pakai tok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bordir nta tidak rapihh,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
barang hilang kurg pengamann kemas,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
suai haga tidak parah parah potong krudungnya tidak barang ttp tingkatin nilai,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ukur kecil nilai produk tidak baik,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
puas benda suai pesan cepat,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
barangnya kirim cepat kualitas benda bagus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
kecewa bungkusan belanja kesini kirim dikirim kualitas produk kurang baik cepat kirim kurang baik respon jual kurang baik,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
tipiis bagus mahal dikit kualitas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
angka disembunyikan kandung spam konten kurang logam ditarik nilai kualitas produk biasa harga produk biasa cepat kirim biasa respon jual biasa,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
tipis bnegt suka kirim cepat mantap mas kurirnya sampek hujan kasiaan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bagus suka terima rekomended,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
oke barangnya oke kilat,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
tipis bangun bahannya corak mocca baby pink tipis tidak kepakai awan hitam tipis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
jilbabnya asli gambar sist pounch cantik tidak sesal asli belanja pipi tirus kualitas produk baik produk original cepat kirim baik,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
bagus kerudung tidak cocok bilang bahan wolfis grade kecewa ukur tidak gambar kumaaf kerudung terawang jual kerudung layer,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bagus benda sesui pesan pesan tidak ngecewain kirim,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
kirim luama tidak respon jual benda tidak suai kualitas barang tidak baik,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
jual nyaa tidak respon laras dichat kemas cht tidak dibalas sabar dann basi lohh kemas dicht tidak dbls gasuka suka saama laden barang bagus cukup,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
benda pesan selamat pesan lengkap seller,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bahanya bagus adem suka jahit rapi kirim cepat kualitas produk baik produk original harga produk baik cepat kirim baik respon jual baik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
vset ijm vhht nllo rwd bjy bbhhftuo ehjk barang original harga barang bagus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
barang selamat suai pesan lengkap seller,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
benda tidak suai pesan pesan konsumen reseller tidak respon pesan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
paketan respon chat cepat kemas bagus recommended seller benda suai catat,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bagus sisa benangnya tidak gunting kirim lumayan,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
puas terima barang pelapak baik ramah tingkatkn usaha,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
keren keren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kecil lihat lihat pendek sihh kain gampang terawang blong sreg kirim cepat produknya tidak bosan,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
bordir jelek mengkerut dak maulah pakainya produk tidak original,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bagus gaan catat tidak kecewa peroleh juragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bagus kerudungnyaa tapii maaff gabisaa ngasihh fotonyaa soalnyaa suai dateng cucii dann kebetulann hp matii tadii belii semuaa kerudungnya kualitas produk baik produk original harga produk baik cepat kirim baik respon jual baik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
kecewa pesan bahan wolfis dikirimnya diamond bahannya tipis kecil nggk suai dipakai remaja,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
penasaran bergo baiti curcumanya hwc launching cantik pakainya warnanya kalem koleksi smua warnanya kualitas produk baik produk original harga produk baik cepat kirim baik respon jual baik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
barangnya lengkap jujur cari hijab instan suai bentuk wajah susah ketemu model hijab wanita cantik subhanallah sukses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jahit nua rapi layer alit sd,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bagus suka bemr asli gambar kualitas produk baik produk original cepat kirim baik respon jual baik,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
jilbabnya tekstil tipis suai harganya,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
produk oke,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
jelek bahan tipis kualitas produk tidak baik,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bagus barang bagus suai pesan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
bagus puas barang suai pesan harga suai adik barang bagus suai harga belanja tidakbribet kirim cepat kemas bagus,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
besar kecil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
warna pashmina lumayan laras gambar ungu harga jilbab mahal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bagus bahan jahit layak bagus rapi harga ditawarkan oke,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
puas suai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bergo harga dikrm segi harga dichat no respon epok tidak moco nilai dibwh blacklist nilai kooperatif situ seller koperatif kosong cancel kirim monggo blokir,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kurang bertanggung gamis bolong diatasi kembali rp hijabnya tidak suai model digambar tidak pesan,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
jilbab bagus kependek an cocok pakai,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
jilbabnya tidak trawang bahannya lumayan layer pertamanua kependekn aneh,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
suai digambar pokonya recomended top markotop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
barang puas kualitas produk baik produk original cepat kirim baik,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
tidak suai gambar pendek dkirim dlm basah suai dbuka plastiknya,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
barang bagus harga kualitas fungsi produk oke jahit kurang rapi dikit juragan sukses,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bahanya tidak tebal tidak harga segitu pengerimanya suruh tidak,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
warna army kurang suka kemas ditingkatkan,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
pendek tidak suai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bagus pastannya bagus suai pesan terima,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
baca review tidak terawang nerawangnya alami laras dateng nerawangnya akut terawang tipiis warna itemnya sedihh gabisa double biar baik seller kualitas produk baik,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
barang suai pesan tipis he suai harganya minus tali putus,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
kecewa acap belanja tidak suai pesan benda tidak kirim pdahal dluan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
materi oke uk suai bordir bibir garapi bordir tengahnya garapi cepat kemas cepat okelah harga segitu,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
aksi barang tarik recommended,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pesan bergo maryam layar aduk pasmina sabiyan awai,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cepat suka tekstil jilbab tipis catat milo tidak warna suai harga kualitas produk standar,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
lumayan warunglah harga suai nilai,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
catat kerudung dateng bella square gimna meni pesan warnanya tidak laras,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pesan warna hitam navy tidak stok chat min,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
benda bagus suai respon cepat ragu,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
kualitas produk baik produk original respon jual bagus senang,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
puas suai harga,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
produk bagus harga segini finishing kurang rapi benang potong jejak garis lumayan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
benda bagus bagus suai warna,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
bagus jilbab taoi jilbabnya kecil belakng cepak tidak senang seller harga barang standar,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
seller tidak percaya kirim barang,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
nilai gaes parah pendeknya kaya tk murces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bahannya bagus tidak tebal nyaman dipakenya,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tidak laras gambar tera cepak bordir tidak rapi harga produk tidak baik,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
materi hebat tipis terawang tlanjang pke in nutup aurat gya,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pesan laras warna dipesan kualitas produk baik cepat kirim baik suka sukses kualitas produk baik produk original harga produk baik cepat kirim baik respon jual baik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
puas lumayan murah encer an tidak panas bahannya,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
baik bahannya suka ademm pesan laras pertahankan kualitas tokonya,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
benda kecewa ukur sangt kecil cocok kecil nutupi bahanya tidak tebal terang jilbabnya kecil kaget suai barang produk oke nilai produk bagus,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
parah siih jilbabnya cepak jahit tidak rapi tidak muasin kirim ditambah barangnya tidak tidak harmonis nilai barang kurang bagus produk tidak original harga produk kurang baik kilat kirim kurang baik,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
khimarnya cantik keren cepat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
kualitas bagus suai harga kualitas bagus suai harga nyaman bahannya pakai top respon kilat,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
sesal kecil tidak muat hijbab kecil,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kainnya tipis terawang suai harga kemas kualitas produk standar harga produk standar cepat kirim standar,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
bagus baguuss suai hargaa dewasa pendek kecil un tu uk muka cocok sd,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
mantaplah barang hijab wanita cantik warna tua foto kalinya catat super kilat top kualitas barang baik produk original harga produk baik cepat kirim baik respon jual baik,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
barang suai oke suka warnanya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
barang gg suai pesenx warna hitam dikirim coklat pramuka teliti donk pesan orang,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bahanya tipis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bagus terima pelapak thnks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
barang cukup nyaman pakai puas kualitas produk standar harga produk standar cepat kirim standar,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
kirim standar standar layan oke harganya tidak suai harganya mahal jilbabnya lumayan ori fotonya,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
kecil kerudungnya,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bagus murah bagus cepat respon kirim,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
bahan agx tipis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
barang oke bahannya adem ringan jatuh motifnya bagus kurang cocok muka tembem,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
paket cak akhiry dtng bahan adem maksimum kerudung kualitas produk baik produk original harga produk baik,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
tidak suai dipesan dusty pink pink hareudang,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
motifnya tidak pasar dipakenya enak tidak tembem bahan kayaknya mahal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
tali respond jual tidak baik late respond sesal ganduh,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
barang bagus puas harga murah barang bagus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
kirim kilat kemas aman barang laras gambar mantaapp,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
bagus laras diapakai harga segitu bagus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bahan lumayan warna solt out warna tera konfirmasi warna pilih habis warna tidak suai,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
oke bagus baik sukses oke suka barangnya sukses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
benda bagus suai dipesan barang tidak aib respon kirim cepat,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
barang bagus harga nilai produk fungsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
peroleh paketnya say peroleh baik bahanya sesui hargaa kerudung jahit kurang apik talinya keringgian cak,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
okey terimakasi paket terima barang biasa materi kurang baik terima kualitas produk standar,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
barang bagus harga suai kualitas pengirimn cepat,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
barangnya cepat minggu kirim kurirnya bagus ramah kualitas barang okee bagus senang kualitas barang baik produk original harga produk baik cepat kirim baik respon jual baik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
benda rezqy limpah baroqh qobul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bahannya tipis kecil rumah hmm sii pengennya,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tidak suai digambar tidak depannya pendek lengan tidak bahannya suai harga ya tidak apa terima produk tidak original,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tidak tipis buuanget anjay kecewa jual customer tidak suka cukup belanja tingkatkan produknya suai harga,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
kurang oke suai harga harga bawa rupa,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
barang suai psenan terima,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
maap awai bergo maryam abu tidak dikirim kerudung bidang bella square tidak informasi jalan kirim,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tali ikat bahan bagus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tipu belanja tipu barang pesan kurang mintak pertanggung gc respon tipu tidak tanggung chat gc respon pokokx gc ikhlas dunia ahirat,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pet tidak kejahit kurang rapi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kemas pengirimn nyampeny minggu ttrus jilbabnya tipis,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
kilat euy time pastinyaa kualitas barang baik produk original harga produk baik cepat baik,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
tidak laras harpkan pendek jual bayar nolak adek,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bagus bahannya beda lumayan tambah koleksi terima,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
senang bagus suai harga tida mengecewakn bagus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
astaghfirulloh belakangnya pendek leher leliatan tidak recomend,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
asli inimah ukur monang bakir gambar segitu ukuranya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
